epoch,train_loss,train_acc,val_loss,val_acc,picture_val_acc,text_val_acc
0,3.6420376300811768,0.577116935483871,0.8510574698448181,0.65625,0.53125,0.5625
1,0.83711838722229,0.6242439516129032,0.7708955407142639,0.671875,0.5,0.625
2,0.7985316514968872,0.6509576612903226,0.7070280909538269,0.71875,0.5,0.703125
3,0.7854675650596619,0.6547379032258065,0.7156033515930176,0.671875,0.546875,0.703125
4,0.7772632837295532,0.6628024193548387,0.6968852877616882,0.6875,0.453125,0.75
5,0.7690091133117676,0.6635584677419355,0.721180260181427,0.6875,0.265625,0.671875
6,0.7631644606590271,0.6693548387096774,0.7056716680526733,0.6875,0.546875,0.6875
7,0.7442926168441772,0.6791834677419355,0.7028383612632751,0.671875,0.546875,0.671875
8,0.760273277759552,0.6703629032258065,0.6844055652618408,0.703125,0.546875,0.703125
9,0.7589913606643677,0.6774193548387096,0.6985970735549927,0.6875,0.546875,0.6875
10,0.7426100373268127,0.6834677419354839,0.6880365014076233,0.765625,0.546875,0.765625
11,0.7479408383369446,0.6764112903225806,0.6984344720840454,0.734375,0.546875,0.734375
12,0.7422657012939453,0.6801915322580645,0.6968803405761719,0.71875,0.546875,0.71875
13,0.7496491074562073,0.6713709677419355,0.7112732529640198,0.703125,0.546875,0.703125
14,0.745009183883667,0.6748991935483871,0.6911448240280151,0.703125,0.546875,0.703125
15,0.7390439510345459,0.6738911290322581,0.6763648986816406,0.703125,0.53125,0.703125
16,0.7387199997901917,0.6817036290322581,0.6925133466720581,0.671875,0.53125,0.671875
17,0.7350793480873108,0.6837197580645161,0.6894776821136475,0.734375,0.546875,0.734375
18,0.7331737875938416,0.6764112903225806,0.6898518204689026,0.703125,0.546875,0.703125
19,0.7373725771903992,0.6754032258064516,0.7030777931213379,0.671875,0.546875,0.671875
